org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
State of Acre;Planning;2555;Estado do Acre;NA;235
State of Acre;Tourism and Leisure State Secretary;2604;Estado do Acre;NA;235
State of Acre;State Assembly;2629;Estado do Acre;NA;235
State of Acre;Secretary of State of Planning;2635;Estado do Acre;NA;235
State of Acre;Environment;2715;Estado do Acre;NA;235
State of Acre;Secretary of Communication;2716;Estado do Acre;NA;235
State of Acre;Executive Office;2717;Estado do Acre;NA;235
Estado do Acre;NA;2783;Estado do Acre;NA;235
State of Amapá;NA;583;Estado do Amapá;NA;236
State of Amapá;Secretary for Environment;584;Estado do Amapá;NA;236
State of Amapá;Secretary for Science and Technology;585;Estado do Amapá;NA;236
State Institute for Forests;NA;586;Estado do Amapá;Instituto Estadual de Florestas;236
State of Amapá;Secretary for Industry, Trade and Mining;587;Estado do Amapá;NA;236
Legislative Assembly of the State of Amapá;NA;588;Estado do Amapá;NA;236
Civil Office of the Governor;Civil Office of the Governor;590;Estado do Amapá;Casa Civil, Relações com a imprensa;236
State of Amapá;IEF;2341;Estado do Amapá;NA;236
State of Amapá;Secretaria de Meio Ambiente, Office of the Secretary;2451;Estado do Amapá;NA;236
State of Amapa;Environment;2549;Estado do Amapá;NA;236
State of Amapa;Urban Planning;2723;Estado do Amapá;NA;236
State of Amapa;Communication;2724;Estado do Amapá;NA;236
State of Amapa;NA;2726;Estado do Amapá;NA;236
Estado de Amapá;NA;2788;Estado do Amapá;NA;236
Estado do Amapá;Secretaria de Meio Ambiente;2901;Estado do Amapá;NA;236
State of Amazonas;Communication Agency;513;Estado do Amazonas;NA;237
State of Amazonas;NA;515;Estado do Amazonas;NA;237
State of Amazonas;Communications Agency;654;Estado do Amazonas;NA;237
State of Amazonas;General coordination for Climate Change and Conservation Union;887;Estado do Amazonas;NA;237
State of Amazonas;Secretariat for Environment and Sustainable Development;1076;Estado do Amazonas;NA;237
State of Amazonas;Social Promotion Fund;1079;Estado do Amazonas;NA;237
NA;Environment and Sustainable;1677;Estado do Amazonas;NA;237
State of Amazonas;Secretariat of Environment and Sustainable Development;1732;Estado do Amazonas;NA;237
State of Amazonas;Sustainable Development;1777;Estado do Amazonas;NA;237
State of Amazonas;Planning;1778;Estado do Amazonas;NA;237
State of Amazonas;Communications;1779;Estado do Amazonas;NA;237
State of Amazonas;Governor's Office;1789;Estado do Amazonas;NA;237
NA;Planning;1872;Estado do Amazonas;Secretaria de Planejamento, Secretaria Executiva Adjunta de Relações Internacionais;237
State of Amazonas;Court of Audit;1899;Estado do Amazonas;NA;237
State of Amazonas;Senar;1998;Estado do Amazonas;NA;237
Congress of the Amazonas;NA;2112;Estado do Amazonas;NA;237
State of Amazonas;State Assembly;2115;Estado do Amazonas;NA;237
State of Amazonas;Cabinet of the Executive Secretary, Environment and Sustainable Development Secretariat;2318;Estado do Amazonas;NA;237
State of Amazonas;Forest and Ecosystem Services, Environment and Sustainable Development Secretariat;2324;Estado do Amazonas;NA;237
State of Amazonas;Cabinet of the Secretary, Environment and Sustainable Development;2328;Estado do Amazonas;NA;237
State of Amazonas;State Center for Protected Protected Areas, Environment and Sustainable Development Secretariat;2342;Estado do Amazonas;NA;237
State of Amazonas;Assembleia Legislativa;2357;Estado do Amazonas;NA;237
State of Amazonas;Management Unit of the State, Center for Climate Change and State Center for Protected Areas, Secretary of Environment;2436;Estado do Amazonas;NA;237
State of Amazonas;Environment;2476;Estado do Amazonas;NA;237
State of Amazonas;International Relations;2477;Estado do Amazonas;NA;237
State of Amazonas;Communication;2478;Estado do Amazonas;NA;237
State of Amazonas;Secretariat for the Environment;2586;Estado do Amazonas;NA;237
State of Amazonas;Institutional Relations;2606;Estado do Amazonas;NA;237
State of Amazonas;Audit Office;2660;Estado do Amazonas;NA;237
State of Amazonas;Audit Office, Second Chamber;2661;Estado do Amazonas;NA;237
State of Amazonas;Federative and International Relations;2713;Estado do Amazonas;NA;237
Estado do Amazonas;NA;2781;Estado do Amazonas;NA;237
Governo do Estado do Amazonas;NA;3015;Estado do Amazonas;NA;237
State of Ceará;NA;662;Estado do Ceará;NA;238
Funceme;NA;722;Estado do Ceará;FUNCEME - Fundação Cearense de Meteorologia e Recursos Hídricos;238
State of Ceará;Rio+20;846;Estado do Ceará;NA;238
State of Ceará;Council on Environmental Policies and Management;1127;Estado do Ceará;NA;238
Estado do Ceará;NA;2774;Estado do Ceará;NA;238
Estado do Ceará;Secretaria de Desenvolvimento Urbano e Meio Ambiente;2792;Estado do Ceará;NA;238
State of Estado do Espirito Santo;Secretariat of the Environment;65;Estado do Espírito Santo;NA;239
Government of the State of Espirito Santo;NA;404;Estado do Espírito Santo;NA;239
State of Espírito Santo;State Programme on Adaptation to Climate Change;711;Estado do Espírito Santo;NA;239
State of Espírito Santo;State Prosecutor General;717;Estado do Espírito Santo;NA;239
State of Espírito Santo;NA;824;Estado do Espírito Santo;NA;239
State of Espírito Santo;Secretariat for Communication;832;Estado do Espírito Santo;NA;239
Government of the State of Espírito Santo;Secretariat for Environment and Water Resources;1120;Estado do Espírito Santo;NA;239
Government of the State of Espírito Santo;NA;1171;Estado do Espírito Santo;NA;239
State of Espírito Santo;Commission on Environmental Defence;1189;Estado do Espírito Santo;NA;239
State of Espírito Santo;State Legislative Assembly;1230;Estado do Espírito Santo;NA;239
State of Espírito Santo;State Assembly;1783;Estado do Espírito Santo;NA;239
IEMA;NA;1957;Estado do Espírito Santo;Instituto Estadual de Meio Ambiente e Recursos Hídricos;239
State of Espírito Santo;Environment and Water Resources;2658;Estado do Espírito Santo;NA;239
Estado do Espírito Santo;NA;2776;Estado do Espírito Santo;NA;239
State of Maranhão;Secretariat for the Environment and Natural Resources;1293;Estado do Maranhão;NA;240
State of Maranhão Industrial;Secretary for Environment;2540;Estado do Maranhão;NA;240
State of Maranhão;Environment;2614;Estado do Maranhão;NA;240
State of Maranhão;Human Development Index;2692;Estado do Maranhão;NA;240
State of Maranhão;Secretary of Human Rights and Participation;2693;Estado do Maranhão;NA;240
Estado do Maranhão;NA;2766;Estado do Maranhão;NA;240
Estado do Maranhão;Secretaria do Meio Ambiente e Turismo;2789;Estado do Maranhão;NA;240
Estado do Maranhão;Gerência de Meio Ambiente;2906;Estado do Maranhão;NA;240
State of Rio Grande do;NA;2553;Estado do Mato Grosso;NA;241
Estado do Mato Grosso;NA;2772;Estado do Mato Grosso;NA;241
Estado do Mato Grosso;Secretaria de Meio Ambiente;2902;Estado do Mato Grosso;NA;241
State of Pará;NA;577;Estado do Pará;NA;242
State of Pará;Secretariat for Environment;578;Estado do Pará;NA;242
State of Pará;Green Municipalities Programme;579;Estado do Pará;NA;242
State of Pará;Agência de Notícias;1905;Estado do Pará;NA;242
State of Pará;Office of the State Secretary, Environment;2315;Estado do Pará;NA;242
State of Pará;Green Municipalities Program;2470;Estado do Pará;NA;242
State of Pará;Secretary for Environmental Management;2522;Estado do Pará;NA;242
State of Pará;Military Office;2600;Estado do Pará;NA;242
State of Pará;Communication;2625;Estado do Pará;NA;242
State of Pará;International Relations Department;2633;Estado do Pará;NA;242
State of Pará;Secretariat of Environment and Sustainability;2659;Estado do Pará;NA;242
State of Pará;Secretary of Environment and Sustainability;2695;Estado do Pará;NA;242
State of Pará;Secretariat of Communication;2696;Estado do Pará;NA;242
State of Pará;Secretariat of Water Resources and Climate;2698;Estado do Pará;NA;242
Estado do Pará;NA;2767;Estado do Pará;NA;242
Estado do Pará;Assembleia Legislativa do Pará;2899;Estado do Pará;NA;242
State of Paraná;Secretary of the Environment and Water Resources of the State of Parana;56;Estado do Paraná;NA;243
State of Paraná;NA;122;Estado do Paraná;NA;243
State of Parana;NA;127;Estado do Paraná;NA;243
State of Parana;Secretariat of the Environment and Water Resources of the State of Parana;129;Estado do Paraná;NA;243
State of Parana;State Secretary for Public Security;132;Estado do Paraná;NA;243
State of Parana;State Official Press Department;141;Estado do Paraná;NA;243
State of Parana;Oscar Niemeyer Museum;150;Estado do Paraná;NA;243
State of Paraná;Secretariat for Urban Development;659;Estado do Paraná;NA;243
State of Paraná;State Secretariat for Family and Social Development;772;Estado do Paraná;NA;243
State of Paraná;Secretariat for Environment and Water Resources;894;Estado do Paraná;NA;243
State of Paraná;Commission on Ecology and the Environment;966;Estado do Paraná;NA;243
State of Paraná;State tribunal;1068;Estado do Paraná;NA;243
State of Paraná;COPEL;1477;Estado do Paraná;NA;243
State of Paraná;Department of the Environment;1606;Estado do Paraná;NA;243
State of Paraná;Environmental Institute of Paraná;1624;Estado do Paraná;NA;243
State of Paraná;Secretariat for the Environment and Sustainable Development;1627;Estado do Paraná;NA;243
State of Paraná;Secretariat for the Environment;1641;Estado do Paraná;NA;243
State of Paraná;Biodiversity, Environmental Institute of Paraná;1734;Estado do Paraná;NA;243
State of Paraná;Planning and Economic Development;2479;Estado do Paraná;NA;243
Estado do Paraná;NA;2782;Estado do Paraná;NA;243
State of Piauí;Secretariat for Planning;435;Estado do Piauí;NA;244
State of Piauí;Secretariat for Environment and Renewable Resources;707;Estado do Piauí;NA;244
State of Piauí;State Appellate Court;726;Estado do Piauí;NA;244
State of Piauí;NA;765;Estado do Piauí;NA;244
State of Piauí;State audit court;891;Estado do Piauí;NA;244
State of Piaui;State Legislative Assembly;1229;Estado do Piauí;NA;244
State of Piauí;Secretariat for Government;1250;Estado do Piauí;NA;244
State of Piaui;NA;1942;Estado do Piauí;NA;244
State of Piauí;Environment and Hydric Resources;2475;Estado do Piauí;NA;244
Estado do Piauí;NA;2777;Estado do Piauí;NA;244
Estado do Piauí;Secretaria Extraordinária de Representação do Governo em Brasília;2794;Estado do Piauí;NA;244
State of Rio de Janeiro;NA;389;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Protocol, Office of the Chief of Sttaff;400;Estado do Rio de Janeiro;NA;245
Legislative Assembly of the State of Rio de Janeiro;Commission on Representation for Rio+20;409;Estado do Rio de Janeiro;NA;245
Legislative Assembly of the State of Rio de Janeiro;NA;420;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Rubber Asphalt Programme;432;Estado do Rio de Janeiro;NA;245
Legislative Assembly of the State of Rio de Janeiro;Environmental Sanitation Commission;443;Estado do Rio de Janeiro;NA;245
Legislative Assembly of the State of Rio de Janeiro;President of the Environment Commission;444;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat for Environment;650;Estado do Rio de Janeiro;NA;245
Public Ministry of the State of Rio de Janeiro;NA;700;Estado do Rio de Janeiro;Ministério Público;245
State of Rio de Janeiro;Events, Office of the Chief of Staff;786;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat for Public Works;838;Estado do Rio de Janeiro;NA;245
Public Works Company;NA;840;Estado do Rio de Janeiro;EMOP - Empresa de Obras Públicas do Rio de Janeiro;245
State of Rio de Janeiro;Court of Audit of the State;893;Estado do Rio de Janeiro;NA;245
Civil Police of the State of Rio de Janeiro;Environmental Protection Police;905;Estado do Rio de Janeiro;Policia Civil, Proteção ao Meio Ambiente;245
State of Rio de Janeiro;Secretariat for Economic Development, Energy, Industry;914;Estado do Rio de Janeiro;NA;245
Prosecutors Office of the State of Rio de Janeiro;NA;953;Estado do Rio de Janeiro;Ministério Público;245
State of Rio de Janeiro;Court of Justice of the State of Rio de Janeiro;970;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Youth Movement;1014;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat for Environment, State Institute on the Environment;1028;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Prosecutors Office of the State of Rio de Janeiro;1074;Estado do Rio de Janeiro;NA;245
Rio de Janeiro State;Public Defender's Office;1081;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Office of the Chief of Staff, Undersecretariat for International Relations;1140;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Office of the Chief of Staff;1144;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Public Ministry (Prosecultors Office) of the State of Rio de Janeiro;1190;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Undersecretariat for Green Economy of the State Secretariat;1226;Estado do Rio de Janeiro;NA;245
Office of the Chief of Staff;Governor's press office;1234;Estado do Rio de Janeiro;NA;245
Company for Water and Sanitation;State Company on Water and Sewage;1245;Estado do Rio de Janeiro;CEDAE - Companhia Estadual de Águas e Esgotos do Rio de Janeiro;245
State of Rio de Janeiro;Secretariat for Environment, Superintendency for Green Economy;1246;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Undersecretariat of Environment;1446;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat for Environment and Sustainable Development;1465;Estado do Rio de Janeiro;NA;245
Forest State Institute of Rio de Janeiro;NA;1521;Estado do Rio de Janeiro;Instituto Estadual de Florestas;245
State of Rio de Janeiro;Secretariat of Economic Development;1676;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;CDM, State Secretariat of Science and Technology;1736;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat of Science and Technology;1874;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Environment;1915;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;State Assembly;1984;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;General Procuracy of Rio de Janeiro;2228;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Procuradoria Geral do Estado, Environmental and Real State Department;2351;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;State Attorney General Office, General Procuracy of the State;2454;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Agriculture and Livestock;2469;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Sustainable Development, Secretariat for Agriculture and Livestock;2514;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Secretariat for Green Economy and Climate Change;2515;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;International Relations;2521;Estado do Rio de Janeiro;NA;245
State of Rio de Janeiro;Environmental Department;2531;Estado do Rio de Janeiro;NA;245
Estado do Rio de Janeiro;NA;2765;Estado do Rio de Janeiro;NA;245
Estado do Rio de Janeiro;Secretaria de Meio Ambiente e Desenvolvimento Sustentável;2904;Estado do Rio de Janeiro;NA;245
State of Rio Grande do Norte;NA;2712;Estado do Rio Grande do Norte;NA;246
Estado do Rio Grande do Norte;NA;2778;Estado do Rio Grande do Norte;NA;246
State of Rio Grande do Sul;Office of the Chief of Staff;468;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Secretariat for Planning, Management, and Government;499;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;State Prosecutor General;740;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;NA;809;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;State Secretariat for Environment;811;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Secretariat for Planning, Management and Citizen;817;Estado do Rio Grande do Sul;NA;247
Government of the State of Rio Grande do Sul;NA;883;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;State Legislative Assembly;1261;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Assembleia Legislativa;2332;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Assembleia Legislativa do Rio Grande do Sul, Commission of MERCOSUR and International Affairs;2336;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Assembleia Legislativa, Comissão de Economia e Desenvolvimento Sustentável;2427;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do;Environment and Sustainable Development;2474;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Legislative Chamber;2584;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Environment and Sustainable Development;2585;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;State Assembly;2609;Estado do Rio Grande do Sul;NA;247
State of Rio Grande do Sul;Water Resources and Management Department;2662;Estado do Rio Grande do Sul;NA;247
Estado do Rio Grande do Sul;NA;2773;Estado do Rio Grande do Sul;NA;247
Estado do Rio Grande do Sul;Secretaria de Educação;2791;Estado do Rio Grande do Sul;NA;247
Tocantins State Nature Institute;NA;410;Estado do Tocantins;NATURATINS - Instituto Natureza do Tocantins;248
Tocantins;Secretariat for Infrastructure;411;Estado do Tocantins;NA;248
Tocantins;Secretariat for Environment and Sustainable Development;713;Estado do Tocantins;NA;248
Tocantins;NA;1222;Estado do Tocantins;NA;248
Estado do Tocantins;NA;2786;Estado do Tocantins;NA;248
NA;Municipal Affairs, Secretariat of Science. Technology and Innovation;1669;Estado não identificado;NA;249
Joint Staff of the Armed Forces;Strategic Affairs;467;Estado-Maior Conjunto das Forças Armadas;NA;250
Joint Staff of the Armed Forces;Preparation and Employment;498;Estado-Maior Conjunto das Forças Armadas;NA;250
Joint Staff of the Armed Forces;NA;502;Estado-Maior Conjunto das Forças Armadas;NA;250
Joint Staff of the Armed Forces;Logistics;538;Estado-Maior Conjunto das Forças Armadas;NA;250
Estado-Maior das Forças Armadas;NA;2757;Estado-Maior Conjunto das Forças Armadas;NA;250
EUBRA;NA;1952;EUBRA - Conselho Euro-Brasileiro de Desenvolvimento Sustentável;NA;251
Euro-Brazilian Council for Sustainable Development;NA;2125;EUBRA - Conselho Euro-Brasileiro de Desenvolvimento Sustentável;NA;251
Armando Álvares Penteado Fundation;NA;1843;FAAP - Fundação Armando Álvares Penteado;NA;252
Fundaçâo Armando Alvares Penteado;NA;2121;FAAP - Fundação Armando Álvares Penteado;NA;252
Fabercastell;Marketing Services;744;Fabercastell;NA;253
Fabercastell;Timber Division;865;Fabercastell;NA;253
Fábrica Éthica Brazil;NA;1615;Fábrica Éthica Brazil;NA;254
Federation of Agriculture of;NA;2035;FAERN - Federação da Agricultura, Pecuária e Pesca do Estado do Rio Grande do Norte;NA;255
FAPESC;NA;1989;FAPESC;NA;256
FAPESC;EPAGRI;1992;FAPESC;NA;256
Federation of Organizations for Social and Education Assistance;NA;523;FASE - Federação de Órgãos para Assistência Social e Educacional;NA;257
Federação de Órgãos para Assistência Social e Educacional;NA;878;FASE - Federação de Órgãos para Assistência Social e Educacional;NA;257
FASE;NA;2072;FASE - Federação de Órgãos para Assistência Social e Educacional;NA;257
Brazilian Conservation Foundation;NA;244;FBCN - Fundação Brasileira para Conservação da Natureza;NA;258
Sustainable Development Brazilian Foundation;NA;635;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;NA;259
Brazilian Foundation for Sustainable Development;NA;848;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;NA;259
Brazilian Sustainable Development Foundation;NA;1491;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;NA;259
Brazilian Foundation for SustainableDevelopment;NA;1509;FBDS - Fundação Brasileira para o Desenvolvimento Sustentável;NA;259
Climate Change Brazilian Forum;NA;978;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Brazilian Forum on Climate Change;NA;1483;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Brazilian Forum of Climate Change;NA;1575;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Brazilian Forum on Climate Change;Center of Environmental Resources, State of Bahia;1786;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Climate Change Forum;NA;2005;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Brazilian Forum on Climate Change;Executive Secretariat;2182;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Fórum Brasileiro de Mudanças Climáticas;"Grupo Carta de Belém e do GT Mudanças Climáticas, Pobreza e Desigualdade; Environmental Justice";2409;FBMC - Fórum Brasileiro de Mudanças Climáticas;NA;260
Brazilian Forum of NGOs and Social Movements for the Environment and Develpment;NA;42;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Forum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;87;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Non-Governmental Organizations and Social Movements;National coordination;782;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Non-Governmental Organizations and Social Movements;NA;918;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Non-Governmental Organizations and Social Movements Brazilians;NA;1156;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Forum Brasileiro de ONGs e Movimentos Sociais para Meio Ambiente e Desenvolvimento;NA;1516;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
FBOMS;NA;1709;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
FBOMS;NA;1709;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Fórum das Organizações Não-Governamentais Brasileiras;NA;2851;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
FBOMS;Instituto SocioAmbiental;2981;FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento;NA;261
Federação de Bandeirantes do Brasil;Educational Program and Development;2319;Federação de Bandeirantes do Brasil;NA;262
Trabalhadores na Agricultura Familiar da Região Sul Federation;NA;1107;FETRAF-SUL - Federação dos Trabalhadores na Agricultura Familiar da Região Sul;NA;263
Getulio Vargas Foundation;NA;104;FGV - Fundação Getúlio Vargas;NA;264
Centro de Estudos Em Sustentabilidade;NA;1637;FGV - Fundação Getúlio Vargas;Centro de Estudos Em Sustentabilidade;264
FGV-Projetos;NA;1683;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;NA;1997;FGV - Fundação Getúlio Vargas;NA;264
FGV;ISAE;2014;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Global Sustainability Programme;2015;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Communications Department;2016;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Brazilian GHG Protocol Programme, Global Sustainability Programme;2017;FGV - Fundação Getúlio Vargas;NA;264
Fundación Getulio Vargas;NA;2137;FGV - Fundação Getúlio Vargas;NA;264
Instituto Superior de Administração e Economia ISAE/FGV;NA;2171;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Project;2200;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Program;2213;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Communication;2265;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Center for Sustainability Studies;2426;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Comissão de Políticas de Desenvolvimento Sustentável (CPDS);2925;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;Coordenadoria de Projetos com Ênfase em Economia Sócio-Ambiental;2942;FGV - Fundação Getúlio Vargas;NA;264
Fundação Getúlio Vargas;"Centro de Estudos de Sustentabilidade (Gvces); Finanças Sustentáveis";3094;FGV - Fundação Getúlio Vargas;NA;264
State of Maranhão Industrial Federation;NA;2538;FIEMA - Federação das Indústrias do Estado do Maranhão;NA;265
Federação das Indústrias do Estado de Minas Gerais (FIEMG);SAMARCO MINERACAO S/A;1822;FIEMG - Federação das Indústrias do Estado de Minas Gerais;NA;266
Federação das Indústrias do Estado de Minas Gerais (FIEMG);Arcelor Mittal Belgo;1824;FIEMG - Federação das Indústrias do Estado de Minas Gerais;NA;266
Federation of Industries of Minas Gerais;NA;1882;FIEMG - Federação das Indústrias do Estado de Minas Gerais;NA;266
Industrial Federation of Minas Gerais;NA;2043;FIEMG - Federação das Indústrias do Estado de Minas Gerais;NA;266
Federation of Industries of the State of Minas Gerais;NA;2159;FIEMG - Federação das Indústrias do Estado de Minas Gerais;NA;266
Federação das Indústrias no Estado de Mato Grosso (FIEMT);NA;1791;FIEMT - Federação das Indústrias do Estado de Mato Grosso;NA;267
Industrias do Estado de São Paulo Federation;NA;529;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
FIESP;NA;1834;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
FIESP;NA;1834;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of Sao Paulo;NA;1937;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of Sao Paulo;External Relations;1938;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;NA;2144;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of;NA;2154;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Corporate Communications;2170;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Environment Department;2172;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Department of Infrastructure;2202;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Environment Specialist;2218;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Environment and Agribusiness;2247;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of;International Negotiations;2271;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Environment;2281;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;ICONE/AgroICONE, Environment and Agribusiness;2338;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Corporate Communications, Press Office;2360;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Infrastructure;2364;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;International Negotiations, Trade and Foreign Affairs;2420;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federation of Industries of the State of São Paulo;Department of Environment;2437;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Federação de Indústrias de São Paulo;Diretoria de Meio Ambiente;2919;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
FIESP;Departamento de Agronegócio;3115;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
FIESP;"Departamento de Meio Ambiente; Assuntos Internacionais e Nacionais";3116;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
FIESP;Questões estratégicas sobre desenvolvimento sustentável;3145;FIESP - Federação das Indústrias do Estado de São Paulo;NA;268
Finagro S.A.;NA;1636;Finagro S.A.;NA;269
Financial Consulting Gibbon, Consultoria Financeira e Futuros Ltda;NA;2111;Financial Consulting Gibbon;NA;270
Finep;International Cooperation Office;412;FINEP - Financiadora de Estudos e Projetos;NA;271
Finep;NA;826;FINEP - Financiadora de Estudos e Projetos;NA;271
Finep;Innovation;872;FINEP - Financiadora de Estudos e Projetos;NA;271
Fiocruz;"Centro de Estudos da Saúde do Trabalhador; Ecologia Humana";197;Fiocruz - Fundação Oswaldo Cruz;NA;272
Oswaldo Cruz Foundation;NA;1126;Fiocruz - Fundação Oswaldo Cruz;NA;272
Fiocruz;IOC/Fiocruz;1928;Fiocruz - Fundação Oswaldo Cruz;NA;272
Fiocruz;NA;1935;Fiocruz - Fundação Oswaldo Cruz;NA;272
Fiocruz;NA;1935;Fiocruz - Fundação Oswaldo Cruz;NA;272
