"";"org_sujo";"org_detalhe_sujo";"id_org_dupla";"org_limpo";"org_detalhe_limpo";"id_org_unica"
"784";"Fiocruz";"Researcher and Project Manager, Department of Endemic Disease";2306;"Fiocruz - Fundação Oswaldo Cruz";NA;272
"785";"FIRJAN";NA;1493;"FIRJAN - Federação das Indústrias do Estado do Rio de Janeiro";NA;273
"786";"Fluminense Federal Institute of Education Science and Technology";NA;691;"Instituto Federal de Educação, Ciência e Tecnologia Fluminense";NA;377
"787";"Força Sindical";"Policy";871;"Força Sindical";NA;277
"788";"Força Sindical";"Sustainable Development";933;"Força Sindical";NA;277
"789";"Força Sindical";NA;1049;"Força Sindical";NA;277
"790";"Força Sindical";"National Bureau of Citizenship and Human Rights";2344;"Força Sindical";NA;277
"791";"Força Sindical";"Environment";2399;"Força Sindical";NA;277
"792";"Força Sindical";"Youth Secretary";2453;"Força Sindical";NA;277
"793";"FORD Foundation";NA;1060;"Fundação Ford";NA;294
"794";"Forest State Institute of Rio de Janeiro";NA;1521;"Estado do Rio de Janeiro";"Instituto Estadual de Florestas";245
"795";"Fórum Brasileiro de Mudanças Climáticas";"Grupo Carta de Belém e do GT Mudanças Climáticas, Pobreza e Desigualdade; Environmental Justice";2409;"FBMC - Fórum Brasileiro de Mudanças Climáticas";NA;260
"796";"Forum Brasileiro de ONGs e Movimentos Sociais para Meio Ambiente e Desenvolvimento";NA;1516;"FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento";NA;261
"797";"Forum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento";NA;87;"FBOMS - Fórum Brasileiro de ONGs e Movimentos Sociais para o Meio Ambiente e o Desenvolvimento";NA;261
"798";"Fórum Permanente de Sustentabilidade de Amazônia";NA;2441;"Fórum Permanente de Sustentabilidade de Amazônia";NA;280
"799";"Friends of the Earth - Brazil";"Energy Policy Research";1532;"Amigos da Terra";NA;33
"800";"FULBRA-CEULP/ULBRA";NA;1687;"Centro Universitário Luterano de Palmas";NA;123
"801";"FUNAI";NA;1983;"FUNAI - Fundação Nacional do Índio";NA;283
"802";"Funarte";NA;439;"Funarte - Fundação Nacional de Artes";NA;284
"803";"Funatura";NA;836;"Funatura - Fundação Pró-Natureza";NA;286
"804";"Funceme";NA;722;"Estado do Ceará";"FUNCEME - Fundação Cearense de Meteorologia e Recursos Hídricos";238
"805";"Fundação Amazonas Sustentável";"Marketing";2323;"Fundação Amazonas Sustentável";NA;288
"806";"Fundação Amazonas Sustentável";"Scientific";2346;"Fundação Amazonas Sustentável";NA;288
"807";"Fundação Amazonas Sustentável";NA;2377;"Fundação Amazonas Sustentável";NA;288
"808";"Fundação Amazonas Sustentável";"Development Coordinator Researcher";2401;"Fundação Amazonas Sustentável";NA;288
"809";"Fundação Amazonas Sustentável";"Special Projects";2444;"Fundação Amazonas Sustentável";NA;288
"810";"Fundaçâo Ambiente e Recursos Naturais";NA;2011;"Fundaçâo Ambiente e Recursos Naturais";NA;289
"811";"Fundaçâo Armando Alvares Penteado";NA;2121;"FAAP - Fundação Armando Álvares Penteado";NA;252
"812";"Fundaçâo Futuro Latino-Americano";NA;2010;"Fundaçâo Futuro Latino-Americano";NA;295
"813";"Fundação Getúlio Vargas";NA;1997;"FGV - Fundação Getúlio Vargas";NA;264
"814";"Fundação Getúlio Vargas";"Global Sustainability Programme";2015;"FGV - Fundação Getúlio Vargas";NA;264
"815";"Fundação Getúlio Vargas";"Communications Department";2016;"FGV - Fundação Getúlio Vargas";NA;264
"816";"Fundação Getúlio Vargas";"Brazilian GHG Protocol Programme, Global Sustainability Programme";2017;"FGV - Fundação Getúlio Vargas";NA;264
"817";"Fundação Getúlio Vargas";"Project";2200;"FGV - Fundação Getúlio Vargas";NA;264
"818";"Fundação Getúlio Vargas";"Program";2213;"FGV - Fundação Getúlio Vargas";NA;264
"819";"Fundação Getúlio Vargas";"Communication";2265;"FGV - Fundação Getúlio Vargas";NA;264
"820";"Fundação Getúlio Vargas";"Center for Sustainability Studies";2426;"FGV - Fundação Getúlio Vargas";NA;264
"821";"Fundação Grupo Esquel Brasil e GT Clima";"Climate Change Communication";2373;"Fundação Grupo Esquel Brasil e GT Clima";NA;297
"822";"Fundação Grupo Esquel Brasil e GT Clima";"Climate Change & Sustainable Development";2442;"Fundação Grupo Esquel Brasil e GT Clima";NA;297
"823";"Fundação Grupo Esquel Brasil e GT Clima";"Administrative & Finance";2459;"Fundação Grupo Esquel Brasil e GT Clima";NA;297
"824";"Fundação Joaquim Nabuco";NA;1282;"Fundação Joaquim Nabuco";NA;298
"825";"Fundação Nacional do Índio";"General Coordination Territorial Monitoring";2321;"FUNAI - Fundação Nacional do Índio";NA;283
"826";"Fundacentro";NA;721;"Fundacentro - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho";NA;301
"827";"Fundacentro";"Chemical Agents Department - Hygiene at Work Coordination";1327;"Fundacentro - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho";NA;301
"828";"Fundación Avina";"Climate Change Program";2382;"Fundación Avina";NA;302
"829";"Fundación Getulio Vargas";NA;2137;"FGV - Fundação Getúlio Vargas";NA;264
"830";"Furnas Centrais Elétricas";"Environmental";1867;"Furnas Centrais Elétricas";NA;303
"831";"General Center of the Brazilian Workers";NA;671;"CGTB - Central Geral dos Trabalhadores do Brasil";NA;129
"832";"General Union of Workers";NA;1146;"UGT - União Geral dos Trabalhadores";NA;604
"833";"General Union of Workers";"Regional Affairs";1167;"UGT - União Geral dos Trabalhadores";NA;604
"834";"General Workers Union";NA;2097;"UGT - União Geral dos Trabalhadores";NA;604
"835";"Geography and Statistics Brazilian Institute";"Research";990;"IBGE - Instituto Brasileiro de Geografia e Estatística";NA;327
"836";"Geography and Statistics Brazilian Institute";NA;1094;"IBGE - Instituto Brasileiro de Geografia e Estatística";NA;327
"837";"Geography and Statistics Brazilian Institute";"Geosciences";1212;"IBGE - Instituto Brasileiro de Geografia e Estatística";NA;327
"838";"Geological Survey of Brazil";NA;593;"CPRM - Serviço Geológico do Brasil";NA;181
"839";"Geological Survey of Brazil";"Hidrology and Territorial Management";594;"CPRM - Serviço Geológico do Brasil";NA;181
"840";"GERDAU";NA;1755;"Gerdau";NA;305
"841";"Gestão e Interesse Público";NA;2334;"GIP - Gestão e Interesse Público";NA;307
"842";"Getulio Vargas Foundation";NA;104;"FGV - Fundação Getúlio Vargas";NA;264
"843";"Global Report Intiative";NA;806;"Global Reporting Initiative";NA;308
"844";"Government of the State of Espirito Santo";NA;404;"Estado do Espírito Santo";NA;239
"845";"Government of the State of Espírito Santo";"Secretariat for Environment and Water Resources";1120;"Estado do Espírito Santo";NA;239
"846";"Government of the State of Espírito Santo";NA;1171;"Estado do Espírito Santo";NA;239
"847";"Government of the State of Mato Grosso";"Mato Grosso Office in São Paulo";422;"Estado de Mato Grosso";NA;226
"848";"Government of the State of Minas Gerais";"Secretariat for Environment and Sustainable Development";401;"Estado de Minas Gerais";NA;227
"849";"Government of the State of Rio Grande do Sul";NA;883;"Estado do Rio Grande do Sul";NA;247
"850";"Green Domus";NA;2140;"Green Domus";NA;311
"851";"Green Domus Brazil";NA;2082;"Green Domus";NA;311
"852";"Green Domus Sustainable Development";NA;2243;"Green Domus";NA;311
"853";"Green Domus SustainableDevelopment Ltda; Neutralize Carbono Ltda";NA;2329;"Green Domus";NA;311
"854";"Green European Institute AISBL";NA;2129;"Green European Institute AISBL";NA;312
"855";"Green Initiative";NA;143;"Iniciativa Verde";NA;313
"856";"Grupo de Instituto Fundações e Empresas";NA;756;"GIFE - Grupo de Institutos, Fundações e Empresas";NA;306
"857";"Grupo de Institutos, Fundações e Empresas";NA;698;"GIFE - Grupo de Institutos, Fundações e Empresas";NA;306
"858";"Grupo de Trabalho Amazônico";NA;1851;"GTA - Grupo de Trabalho Amazônico";NA;317
"859";"Grupo Esquel Brasil Foundation";NA;1168;"Fundação Grupo Esquel Brasil";NA;296
"860";"Grupo Esquel Brasil Foundaton";"International Affairs";1170;"Fundação Grupo Esquel Brasil";NA;296
"861";"Grupo KeyAssociados";"Climate Change";2248;"Key Associados";NA;403
"862";"Grupo Plantar";"Grupo Plantar";1828;"Grupo Plantar";NA;315
"863";"Grupo Plantar";"Carbon Project";1854;"Grupo Plantar";NA;315
"864";"Grupo Plantar";"Climate Policy";1855;"Grupo Plantar";NA;315
"865";"GSI";NA;373;"Gabinete de Segurança Institucional da Presidência";NA;304
"866";"GTA - Workgroup on Amazon";NA;1565;"GTA - Grupo de Trabalho Amazônico";NA;317
"867";"Heinrich Boell Foundation";NA;1609;"Heinrich Böll Stiftung";NA;319
"868";"Heinrich Böll Foundation - Brazil";NA;2249;"Heinrich Böll Stiftung";NA;319
"869";"Helix-GPG Consultoría Ambiental";NA;1614;"Helix-GPG Consultoria Ambiental";NA;320
"870";"Hemobras";"Strategic Products and Innovation";963;"Hemobrás - Empresa Brasileira de Hemoderivados e Biotecnologia";NA;321
"871";"Hemobras";NA;1182;"Hemobrás - Empresa Brasileira de Hemoderivados e Biotecnologia";NA;321
"872";"High Consultative Council of Entrepreneurial Entities";NA;1383;"Conselho Consultivo Superior das Entidades Empresariais";NA;168
"873";"Hlavnicka, Araújo e Opic Law Firm";NA;1702;"Hlavnicka, Araújo e Opic Advogados";NA;322
"874";"House of Representatives";"Special Commission on Environmental Pollution";355;"Câmara dos Deputados";NA;101
"875";"HSBC Brazil";"Health, Safety and Environment (HSE)";2270;"HSBC Brasil";NA;323
"876";"Humanos Direitos Institute";NA;667;"Instituto Humanos Direitos";NA;378
"877";"IBAMA";"National Parks, Ibama Parana";55;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"878";"IBAMA";NA;62;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"879";"IBAMA";"Parque Nacional de Iguacu";101;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"880";"IBAMA";"Directory of Environmental Quality";163;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"881";"IBAMA";"Department of Environmental Quality";168;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"882";"IBAMA";"Directorate of Environmental Quality";172;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"883";"IBAMA";"Department of Pesticide";191;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"884";"IBAMA";"Department of Chemical Substances";194;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"885";"IBAMA";"Environmental Quality Management; Directorate of Environmental Quality";214;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"886";"IBAMA";"Departamento da Vida Silvestre";251;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"887";"IBAMA";"Presidência";254;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"888";"IBAMA";"Departamento de Vida Silvestre";258;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"889";"IBAMA";"Diretoria de Fauna e Recursos Pesqueiros - DIFAP";265;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"890";"IBAMA";"Sustainable Use for Biodiversity and Forest Department";274;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"891";"IBAMA";"Forest Protection and Conservation Division";275;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"892";"IBAMA";"Department of Forest Resources";302;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"893";"IBAMA";"DIRECOF";1404;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"894";"IBDF";"Project UNDP/FAO/IBDF-BRA 45";288;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"895";"IBDF";NA;289;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"896";"IBDF";"PROPEDEF";291;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"897";"IBDF";"PNUD/FAO/IBDF/BRA-82/008";299;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"898";"ICF Consulting";NA;1563;"ICF Consulting";NA;331
"899";"ICLEI - Local Governments for Sustainability";NA;1947;"ICLEI - Local Governments for Sustainability";NA;332
"900";"ICLEI - Local Governments for Sustainability";"Mayor's Office";1961;"ICLEI - Local Governments for Sustainability";NA;332
"901";"ICLEI - Local Governments for Sustainability";"Sustainable Development";1969;"ICLEI - Local Governments for Sustainability";NA;332
"902";"ICMBIO";NA;278;"ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade";NA;333
"903";"ICMBio";NA;2622;"ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade";NA;333
"904";"Idecri";"Programme";929;"IDECRI - Instituto para o Desenvolvimento da Cooperação e Relações Internacionais";NA;337
"905";"IEMA";NA;1957;"Estado do Espírito Santo";"Instituto Estadual de Meio Ambiente e Recursos Hídricos";239
"906";"Indigenous Community";"Gramacho";1163;"Comunidade indígena";NA;156
"907";"Indigenous Institute for Intellectual Property";NA;938;"INBRAPI - Instituto Indígena Brasileiro para Propriedade Intelectual";NA;343
"908";"Indigenous Organizations of the Brazilian Amazon Organization";NA;609;"COIAB - Coordenação das Organizações Indígenas da Amazônia Brasileira";NA;146
"909";"Indigenous People of the Pantanal Association";NA;937;"ARPIPAN - Articulação dos Povos Indígenas do Pantanal";NA;57
"910";"Indigenous Peoples Association";NA;482;"APIB - Articulação dos Povos Indígenas do Brasil";NA;50
"911";"Indústria Brasileira de Árvores";NA;2422;"Indústria Brasileira de Árvores";NA;345
"912";"Indústria Brasileira de Árvores";"Sustainability";2450;"Indústria Brasileira de Árvores";NA;345
"913";"Industrial Federation of Minas Gerais";NA;2043;"FIEMG - Federação das Indústrias do Estado de Minas Gerais";NA;266
"914";"Industrias do Estado de São Paulo Federation";NA;529;"FIESP - Federação das Indústrias do Estado de São Paulo";NA;268
"915";"Industrie National Confederation";NA;1147;"CNI - Confederação Nacional da Indústria";NA;138
"916";"Industries National Confederation";"International Affairs";1054;"CNI - Confederação Nacional da Indústria";NA;138
"917";"Industry National Federation";NA;1430;"CNI - Confederação Nacional da Indústria";NA;138
"918";"Information Technology Center";NA;1238;"CTI - Centro de Tecnologia da Informação";NA;185
"919";"Inmetro";"Management and Planning";1085;"INMETRO - Instituto Nacional de Metrologia, Qualidade e Tecnologia";NA;350
"920";"INPE";"CPTEC";1560;"INPE - Instituto Nacional de Pesquisas Espaciais";NA;352
"921";"Insterstate Federation of Engineering Unions";NA;705;"FISENGE - Federação Interestadual de Sindicatos de Engenheiros";NA;274
"922";"Institute Alternative Policies for the South Cone";NA;2040;"PACS - Instituto Políticas Alternativas para o Cone Sul";NA;510
"923";"Institute for Agricultural and Forest Management and Certification";"Climate and Agriculture Initiative";2278;"IMAFLORA - Instituto de Manejo e Certificação Florestal e Agrícola";NA;342
"924";"Institute for Applied Economic Research";NA;549;"IPEA - Instituto de Pesquisa Econômica Aplicada";NA;394
"925";"Institute for Conservation and Sustainable Development of Amazonas";NA;1809;"IDESAM - Instituto de Conservação e Desenvolvimento Sustentável do Amazonas";NA;338
"926";"Institute for Conservation and Sustainable Development of Amazonas";"Climate Change and Environment";2337;"IDESAM - Instituto de Conservação e Desenvolvimento Sustentável do Amazonas";NA;338
"927";"Institute for Conservation and Sustainable Development of Amazonas";"Climate Change Program";2367;"IDESAM - Instituto de Conservação e Desenvolvimento Sustentável do Amazonas";NA;338
"928";"Institute for Developing Alternative Energy in Latin America";NA;1994;"IDEAL - Instituto para o Desenvolvimento de Energias Alternativas na América latina";NA;336
"929";"Institute for Ecological Research";NA;666;"IPÊ - Instituto de Pesquisas Ecológicas";NA;393
"930";"Institute for International Trade Negotiations";NA;1875;"ICONE - Instituto de Estudos do Comércio e Negociações Internacionais";NA;334
"931";"Institute for Socioeconomic Studies";NA;2045;"INESC - Instituto de Estudos Socioeconômicos";NA;347
"932";"Institute for Socioeconomic Studies";"Collegiate Management";2214;"INESC - Instituto de Estudos Socioeconômicos";NA;347
"933";"Institute Life Center";NA;2057;"Instituto Centro de Vida";NA;360
"934";"Institute of Applicable Economic Research";NA;1512;"IPEA - Instituto de Pesquisa Econômica Aplicada";NA;394
"935";"Institute of Applied Economic Research";NA;1944;"IPEA - Instituto de Pesquisa Econômica Aplicada";NA;394
"936";"Institute of Applied Economic Research";"Environmental Economics";2225;"IPEA - Instituto de Pesquisa Econômica Aplicada";NA;394
"937";"Institute of Applied Economic Research";"Department of Regional, Urban and Environmental Studies and Policies";2576;"IPEA - Instituto de Pesquisa Econômica Aplicada";NA;394
"938";"Institute of Socieconomic Studies";NA;818;"INESC - Instituto de Estudos Socioeconômicos";NA;347
"939";"Institute of Socioeconomic Studies";"Collegiate Management";2433;"INESC - Instituto de Estudos Socioeconômicos";NA;347
"940";"Institute of the Patrimonio Historico e Artistico Nacional";NA;965;"IPHAN - Instituto do Patrimônio Histórico e Artístico Nacional";NA;395
"941";"Institute Tereza Valse";NA;2128;"Instituto Tereza Valse";NA;387
"942";"Institutional Security Cabinet";NA;2686;"Gabinete de Segurança Institucional da Presidência";NA;304
"943";"Institutional Security Cabinet of the Presidency";NA;903;"Gabinete de Segurança Institucional da Presidência";NA;304
"944";"Institutional Security Cabinet of the Presidency";"Presidential Security";999;"Gabinete de Segurança Institucional da Presidência";NA;304
"945";"Institutional Security Cabinet of the Presidency";"Coordination for Environmental Security";1070;"Gabinete de Segurança Institucional da Presidência";NA;304
"946";"Instituto Aço Brasil";"Sustainability";2452;"Instituto Aço Brasil";NA;356
"947";"Instituto Aguas da Terra";"CONFEA/Eng.International Consultant";1810;"Instituto Águas da Terra";NA;357
"948";"Instituto Aguas da Terra";NA;1811;"Instituto Águas da Terra";NA;357
"949";"Instituto Águas da Terra";NA;1812;"Instituto Águas da Terra";NA;357
"950";"Instituto Brasileiro de Desenvolvimento Florestal";"Departamento de Parques Nacionais e Reservas Equivalentes";241;"IBDF - Instituto Brasileiro de Desenvolvimento Florestal";NA;326
"951";"Instituto Brasileiro de Mineração (IBRAM); CNI; Coema";NA;1821;"CNI - Confederação Nacional da Indústria";NA;138
"952";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";"Departemento de Vida Silvestre (DEVIS/DIREC)";260;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"953";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";NA;266;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"954";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";"Departamento de Vida Silvestre (DEVIS/DIREC)";268;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"955";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";"Coordenação Geral de Gestão dos Recursos Pesqueiros";269;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"956";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";"Diretoria de Florestas - DIREF";271;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"957";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturales Renovaveis";"Diretoria de Ecossistemas";246;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";NA;324
"958";"Instituto Centro de Vida";NA;2058;"Instituto Centro de Vida";NA;360
"959";"Instituto Chico Mendes de Conservacao da Biodiversidade - ICMBi";"Coordenadoria Geral de Conservacao das Espécies Ameacadas - CGESP";284;"ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade";NA;333
"960";"Instituto Cotait Ruggiero";NA;2347;"Instituto Cotait Ruggiero";NA;361
"961";"Instituto de Conservaçâo e Desenvolvimento Sustentável";NA;2132;"Instituto de Conservaçâo e Desenvolvimento Sustentável";NA;362
"962";"Instituto de Conservação e Desenvolvimento Sustentável do Amazonas";NA;1758;"IDESAM - Instituto de Conservação e Desenvolvimento Sustentável do Amazonas";NA;338
"963";"Instituto do PVC";NA;157;"Instituto do PVC";NA;365
"964";"Instituto Ecologica";NA;1500;"Instituto Ecológica";NA;368
"965";"Instituto Ecoplan";NA;1746;"Instituto Ecoplan";NA;369
"966";"Instituto Ecoplan";"Instituto Ecoplan";1885;"Instituto Ecoplan";NA;369
"967";"Instituto Ethos";NA;2151;"Instituto Ethos";NA;370
"968";"Instituto Ethos";"Public Policies";2316;"Instituto Ethos";NA;370
"969";"Instituto Nacional de Pesquisas Espaciais";NA;1647;"INPE - Instituto Nacional de Pesquisas Espaciais";NA;352
"970";"Instituto SocioAmbiental";NA;95;"Instituto SocioAmbiental";NA;386
"971";"Instituto Superior de Administração e Economia ISAE/FGV";NA;2171;"FGV - Fundação Getúlio Vargas";NA;264
"972";"Inter-American Institute for Global Change Research";NA;1558;"Inter-American Institute for Global Change Research";NA;390
"973";"Interministerial Committee on Global Climate Change";NA;1554;"CIMGC - Comissão Interministerial de Mudança Global do Clima";NA;131
"974";"International Association of Economic and Social Council and Similar Institutions";NA;1934;"AICESIS - International Association of Economic and Social Councils and Similar Institutions";NA;28
"975";"International Centre for Trade and Sustainable Development";NA;2088;"ICTSD - International Centre for Trade and Sustainable Development";NA;335
"976";"International Chamber of Comerce Brazil";"International Affairs";982;"CCI - Câmara de Comércio Internacional";NA;113
"977";"International Chamber of Commerce";"Environmental Legal Working Group";1466;"CCI - Câmara de Comércio Internacional";NA;113
"978";"International Chamber of Commerce";"Brazilian Committee";1626;"CCI - Câmara de Comércio Internacional";NA;113
"979";"International Chamber of Commerce";NA;1642;"CCI - Câmara de Comércio Internacional";NA;113
"980";"International Chamber of Commerce - Brazil";NA;1625;"CCI - Câmara de Comércio Internacional";NA;113
"981";"International Conservation of Brazil";"Institutional Relations";2175;"Conservation International";NA;173
"982";"International Council for Local Environment Initiatives";"Latin America and Caribbean Secretariat";1622;"ICLEI - Local Governments for Sustainability";NA;332
"983";"International Democratic Federation of Women";NA;988;"WIDF - Women's International Democratic Federation";NA;667
"984";"International Institute for Sustainability";"Research";2267;"IIS - Instituto Internacional para a Sustentabilidade";NA;341
"985";"International Institute for Sustainability";NA;2286;"IIS - Instituto Internacional para a Sustentabilidade";NA;341
"986";"International Organisation of Supreme Audit Institutions";NA;2012;"INTOSAI - International Organization of Supreme Audit Institutions";NA;391
"987";"International Peasant Movement";"Public Relations";991;"Via Campesina";NA;657
"988";"Interstate Federation of Engineering Unions";NA;652;"FISENGE - Federação Interestadual de Sindicatos de Engenheiros";NA;274
"989";"Intertribal Committee";NA;1041;"Comitê Intertribal";NA;153
"990";"ISADI";NA;1685;"ISADI - Instituto Socioambiental de Desenvolvimento Integrado do Ipiranga";NA;397
"991";"Isolux Energia e Participações S/A";"Concession and Energy Division, Sustainability";2259;"Isolux Energia e Participações S/A";NA;398
"992";"Itaipu Binacional";NA;2130;"Itaipu Binacional";NA;400
"993";"Itaipu Binacional";"Coordination and Environment";2392;"Itaipu Binacional";NA;400
"994";"Itaipu Binacional";"Finance";2417;"Itaipu Binacional";NA;400
"995";"Itaipu Binacional";"Brazil";2551;"Itaipu Binacional";NA;400
"996";"Itaipu Binacional";"Coordination";2735;"Itaipu Binacional";NA;400
"997";"Itaú Bank";"Sustainability";2186;"Banco Itaú";NA;73
"998";"Japanese Commerce and Industry Chamber in Brazil";NA;1644;"Câmara de Comércio e Indústria Japonesa do Brasil";NA;99
"999";"Joint Staff of the Armed Forces";"Strategic Affairs";467;"Estado-Maior Conjunto das Forças Armadas";NA;250
"1000";"Joint Staff of the Armed Forces";"Preparation and Employment";498;"Estado-Maior Conjunto das Forças Armadas";NA;250
"1001";"Joint Staff of the Armed Forces";NA;502;"Estado-Maior Conjunto das Forças Armadas";NA;250
"1002";"Joint Staff of the Armed Forces";"Logistics";538;"Estado-Maior Conjunto das Forças Armadas";NA;250
"1003";"Jornada da Juventude";NA;1099;"Jornada da Juventude";NA;401
"1004";"Jubileu Sul Américas";NA;2039;"Jubileu Sul Américas";NA;402
"1005";"Key Associados";NA;1883;"Key Associados";NA;403
"1006";"Key Associados";"Key Associados";1941;"Key Associados";NA;403
"1007";"Klabin";NA;1835;"Klabin";NA;404
"1008";"KPMG";NA;2073;"KPMG";NA;405
"1009";"KPMG";"Climate Change and Sustainablity";2169;"KPMG";NA;405
"1010";"KPMG";"Risk Consulting";2312;"KPMG";NA;405
"1011";"Landless Workers Movement";NA;874;"MST - Movimento dos Trabalhadores Rurais Sem Terra";NA;458
"1012";"Latin America Climate Initiative - ICAL";"Brazil";2241;"ICAL - Iniciativa Clima América Latina";NA;330
"1013";"Latin America Council of Churches Brazil";NA;745;"Conselho Latino-Americano de Igrejas - Brasil";NA;170
"1014";"Latin America Non-Governamental Organizations Association";NA;1118;"Associação Latino-americana de ONGs";NA;63
"1015";"Latin American Institute";NA;2117;"Instituto Latino Americano";NA;379
"1016";"Law School Izabela Hendrix";NA;1499;"Instituto Metodista Izabela Hendrix";NA;382
"1017";"Legal Amazon Consortium";NA;2730;"Consórcio da Amazônia Legal";NA;174
"1018";"Legislative Assembly of the State of Amapá";NA;588;"Estado do Amapá";NA;236
"1019";"Legislative Assembly of the State of Goiás";NA;854;"Estado de Goiás";NA;225
"1020";"Legislative Assembly of the State of Paraíba";NA;1173;"Estado da Paraíba";NA;223
"1021";"Legislative Assembly of the State of Rio de Janeiro";"Commission on Representation for Rio+20";409;"Estado do Rio de Janeiro";NA;245
"1022";"Legislative Assembly of the State of Rio de Janeiro";NA;420;"Estado do Rio de Janeiro";NA;245
"1023";"Legislative Assembly of the State of Rio de Janeiro";"Environmental Sanitation Commission";443;"Estado do Rio de Janeiro";NA;245
"1024";"Legislative Assembly of the State of Rio de Janeiro";"President of the Environment Commission";444;"Estado do Rio de Janeiro";NA;245
"1025";"Linde Gases Ltda";NA;1837;"Linde Gases Ltda";NA;406
"1026";"LLP";"Partner, LLP";1857;"LLP";NA;407
"1027";"Lula Institute";NA;572;"Instituto Lula";NA;380
"1028";"Lumber Union of the State of Parana and Brazilian Association of Wood Producers";NA;249;"ABPMEX - Associação Brasileira de Produtores e Exportadores de Madeiras";NA;14
"1029";"Luta pela Moradia National Movement";"Sustainability Manager";526;"Movimento Nacional de Luta pela Moradia";NA;456
"1030";"Lutheran World Federation - LWF";NA;2263;"LWF - Lutheran World Federation";NA;411
"1031";"Magazine Pesquisa";NA;2131;"Revista Pesquisa FAPESP";NA;543
"1032";"Mamiraua Institute";NA;834;"Instituto de Desenvolvimento Sustentável Mamirauá";NA;363
"1033";"MAN Latin America";NA;611;"MAN Latin America";NA;412
"1034";"MAN Latin America";"Government and Institutional Relations";995;"MAN Latin America";NA;412
"1035";"Manejo Florestal Council";NA;598;"FSC - Conselho de Manejo Florestal";NA;282
"1036";"Marcha Mundial do Clima";NA;2404;"Marcha Mundial do Clima";NA;414
"1037";"Marfrig Alimentos";"Marfrig Alimentos";2048;"Marfrig Alimentos";NA;415
"1038";"Marina Silva Institute";NA;1030;"Instituto Marina Silva";NA;381
